Port_Key,Port_Name,Country_Key
308,"Port of Cirebon, Cirebon",7
309,Port of Civitavecchia,7
310,Port of Colombo,7
311,Port of ConstanÅ£a,7
312,Port of Cork,7
313,Port of Coronel,7
314,"Port of CristÃ³bal, ColÃ³n",7
315,Port of Dalian,7
316,Port of Dar Es Salaam,7
317,Port of Djibouti,7
318,Port of Dock Sud,7
319,Port of Dunkirk,7
320,Port of Durban,7
321,Port of East London,7
322,Port of Eilat,7
323,Port of Ensenada,7
324,Port of Felixstowe,7
325,Port of Foshan,7
326,Port of Fremantle,7
327,Port of Fukuoka,7
328,Port of Fukuyama,7
329,"Port of Galveston, Texas",7
330,Port of Gdynia,7
331,"Port of Gemlik, Gemlik",7
332,Port of Genoa,7
333,Port of Germersheim,7
334,Port of Gioia Tauro,7
335,Port of Gothenburg,7
336,Port of Guangzhou,7
337,Port of Haifa,7
338,Port of Halifax,7
339,Port of Hamad,7
340,Port of Hamburg,7
341,Port of Hamina-Kotka,7
342,Port of Helsinki,7
343,Port of Hiroshima,7
344,Port of Hong Kong,7
345,"Port of Honolulu, Hawaii",7
346,"Port of Hueneme, California",7
347,Port of Ilo,7
348,Port of Immingham,7
349,Port of Incheon,7
350,Port of Iquique,7
351,Port of Istanbul,7
352,Port of Izmit,7
353,Port of Kakinada,7
354,Port of Kaohsiung,7
355,Port of Kavala,7
356,Port of Khor Fakkan,7
357,Port of KlaipÄ—da,7
358,Port of Kobe,7
359,Port of Kocaeli,7
360,Port of Kochi,7
361,Port of Kolkata (Syama Prasad Mookerjee Port),7
362,Port of Kollam,7
363,Port of Koper,7
364,Port of Krishnapatnam,7
365,Port of La Plata,7
366,Port of La Spezia,7
367,Port of LÃ¡zaro CÃ¡rdenas,7
368,Port of Laem Chabang,7
369,Port of Las Palmas,7
370,Port of Le Havre,7
371,"Port of LeixÃµes, Porto",7
372,Port of Limassol,7
373,Port of Livorno/Leghorn,7
374,Port of Lobito,7
375,"Port of Los Angeles, California",7
376,Port of Luanda,7
377,"Port of Makassar, Makassar",7
378,Port of Manila,7
379,Port of Manzanillo,7
380,Port of Maputo,7
381,Port of Marghera,7
382,Port of Matarani,7
383,Port of Mazatlan,7
384,Port of Melbourne,7
385,Port of Mersin,7
386,"Port of Mobile, Alabama",7
387,Port of Montevideo,7
388,Port of Montreal,7
389,Port of Morelos,7
390,Port of Mundra,7
391,Port of Muuga,7
392,Port of Nacala,7
393,Port of Nagoya,7
394,Port of Namibe,7
395,Port of Nanaimo,7
396,Port of Naples,7
397,Port of Ngqura,7
398,Port of Ningbo,7
399,Port of Novorossiysk,7
400,"Port of Oakland, California",7
401,Port of Odesa,7
402,Port of Osaka,7
403,Port of Oslo,7
404,Port of Palermo,7
405,Port of Pangaon,7
406,Port of Paramaribo,7
407,Port of Pipavav,7
408,"Port of Piraeus, Athens",7
409,Port of PloÄ?e,7
410,Port of Pori,7
411,Port of Port Elizabeth,7
412,Port of Prince Rupert,7
413,Port of Qingdao,7
414,Port of Rauma,7
415,Port of Richards Bay,7
416,Port of Rio de Janeiro,7
417,Port of Rio Haina (Haina Occidental Port),7
418,Port of Rotterdam,7
419,Port of Saint Petersburg,7
420,Port of Salalah,7
421,Port of Salerno,7
422,Port of Salvador,7
423,Port of San Antonio,7
424,"Port of San Juan, Puerto Rico",7
425,Port of Santa Fe,7
426,Port of Santa Marta,7
427,Port of Santos,7
428,"Port of Savannah, Georgia",7
429,"Port of Seattle, Washington",7
430,Port of Sepetiba,7
431,Port of Shanghai,7
432,Port of Sharjah,7
433,Port of Shenzhen,7
434,"Port of Sines, Sines",7
435,Port of Southampton,7
436,Port of Soyo,7
437,Port of Split - Adriatic Gate Container Terminal,7
438,Port of Split - Rijeka Gateway,7
439,Port of Sudan,7
440,Port of Suzhou,7
441,"Port of Tacoma, Washington",7
442,Port of Taichung,7
443,Port of Talcahuano,7
444,Port of Tallinn,7
445,"Port of Tampa, Florida",7
446,"Port of Tanjung Mas, Semarang",7
447,Port of Tanjung Pelepas,7
448,"Port of Tanjung Perak, Surabaya",7
449,"Port of Tanjung Priok, Jakarta",7
450,Port of Taranto,7
451,Port of Tarragona,7
452,Port of Tartus,7
453,Port of TekirdaÄŸ,7
454,Port of Thessaloniki,7
455,Port of Tianjin,7
456,"Port of Tilbury, London",7
457,"Port of Tincan, Lagos",7
458,Port of Trieste,7
459,Port of Tuticorin (V. O. Chidambaranar Port),7
460,Port of Valencia,7
461,Port of Valletta,7
462,Port of Valparaiso,7
463,Port of Veracruz,7
464,Port of Vigo,7
465,Port of Visakhapatnam,7
466,Port of Vitoria,7
467,"Port of Vladivostok, Free port of Vladivostok",7
468,Port of Volos,7
469,"Port of Wilmington, North Carolina",7
470,Port of Xiamen,7
471,Port of Yantai,7
472,Port of Yokohama,7
473,Port of Zeebrugge,7
474,Port Said - East Terminal,7
475,Port Said - West Port,7
476,"PortMiami, Miami, Florida",7
477,Ports of Auckland,7
478,Ports of Bahia Blanca,7
479,Ports of Stockholm,7
480,Portsmouth,7
481,Qasim Freight Station,7
482,Qasim International container terminal,7
483,"Red Hook Marine Terminal, Brooklyn, New York",7
484,Rheinhafengesellschaft Weil am Rhein mbH,7
485,Riyadh Dry Port,7
486,"Royal Portbury Dock, Bristol",7
487,Saigon Port,7
488,"Seaforth Dock, Liverpool",7
489,"Semayang Harbor, Balikpapan",7
490,Sokhna,7
491,South Asia Pakistan terminals,7
492,Tanger-Med,7
493,"Tenau Port, Kupang",7
494,Toamasina Autonomous Port,7
495,"Virginia Inland Port, Front Royal, Virginia",7
496,"Vostochny Port, Vrangel",7
497,"Wilmington Marine Terminal, Delaware",7
498,Aalborg,11
499,Aarhus,11
500,Abu Dhabi,11
501,Agadir Port,11
502,Alexandria Port,11
503,"APM Terminals, Portsmouth, Virginia",11
504,"Bayport Terminal, Houston, Texas",11
505,Casablanca Port,11
506,Copenhagen MalmÃ¶ Port,11
507,Da Nang,11
508,Damietta,11
509,DCT GdaÅ„sk,11
510,Dublin Port,11
511,El-Dekhila,11
512,Fredericia,11
513,Fujairah Port,11
514,Grangemouth,11
515,Gwader Port,11
516,Hai Phong,11
517,Havana Harbor,11
518,Jebel Ali,11
519,Jeddah Seaport,11
520,Kaliningrad Sea Commercial Port,11
521,Kalundborg,11
522,Karachi International container terminal,11
523,Karachi Port,11
524,"King Abdul Aziz Sea Port, Dammam",11
525,"Kingston Container Terminal (Port of Kingston), Kingston",11
526,London Gateway,11
527,London Thamesport,11
528,Louisiana International Gulf Transfer Terminal Regional Center,11
529,"Lyttleton Port, Lyttleton",11
530,"Malta Freeport, Birzebbuga",11
531,Manzanillo International Terminal,11
532,Multimodal Caucedo Port,11
533,Muscat,11
534,"Newport News Marine Terminal, Newport News, Virginia",11
535,"Norfolk International Terminals, Norfolk, Virginia",11
536,PAKISTAN INTERNATIONAL BULK TERMINAL LIMITED,11
537,Pakistan International Container Terminal,11
538,PEARL TCDT,11
539,Penang Port,11
540,Port Botany,11
541,"Port Chalmers, Dunedin",11
542,"Port Everglades, Florida",11
543,"Port Jersey Marine Terminal, Jersey City, New Jersey",11
544,Port Metro Vancouver,11
545,Port Nelson,11
546,"Port Newark-Elizabeth Marine Terminal, New Jersey",11
547,Port of Ä°skenderun,11
548,Port of Ä°zmir,11
549,Port of Adelaide,11
550,"Port of AlcÃ¢ntara, Lisbon",11
551,Port of Alexandroupoli,11
552,Port of Algeciras,11
553,Port of Algiers,11
554,Port of AliaÄŸa,11
555,Port of Altamira,11
556,Port of AmbarlÄ±,11
557,Port of Amsterdam,11
558,Port of Antalya,11
559,Port of Antwerp,11
560,Port of Aqaba,11
561,Port of Ashdod,11
562,Port of Balboa,11
563,Port of Bandar-Abbas,11
564,Port of Bandar-kohemini,11
565,Port of Barcelona,11
566,"Port of Barranquilla, Cartagena",11
567,Port of Beira,11
568,Port of Belfast,11
569,Port of Bergen,11
570,Port of Bilbao,11
571,"Port of Boston, Massachusetts",11
572,Port of Bremen/Bremerhaven,11
573,Port of Buenaventura,11
574,Port of Buenos Aires,11
575,Port of Cabinda,11
576,"Port of Callao, Lima",11
577,Port of Cape Town,11
578,"Port of Charleston, South Carolina",11
579,Port of Chennai,11
580,Port of Civitavecchia,11
581,Port of Colombo,11
582,Port of ConstanÅ£a,11
583,Port of Cork,11
584,Port of Coronel,11
585,Port of Dakar,11
586,Port of Dalian,11
587,Port of Dar Es Salaam,11
588,Port of Dock Sud,11
589,Port of Dubai,11
590,Port of Dunkirk,11
591,Port of Durban,11
592,Port of Durres,11
593,Port of Eilat,11
594,Port of Ensenada,11
595,Port of Foshan,11
596,Port of Fukuoka,11
597,"Port of Galveston, Texas",11
598,"Port of Gemlik, Gemlik",11
599,Port of Genoa,11
600,Port of Germersheim,11
601,Port of Gioia Tauro,11
602,Port of Gothenburg,11
603,Port of Haifa,11
604,Port of Halifax,11
605,Port of Hamad,11
606,Port of Hamburg,11
607,Port of Hamina-Kotka,11
608,Port of Hazira,11
609,Port of Helsinki,11
610,Port of Heraklion,11
611,Port of Hiroshima,11
612,Port of Hong Kong,11
613,"Port of Hueneme, California",11
614,Port of Immingham,11
615,Port of Incheon,11
616,Port of Iquique,11
617,Port of Istanbul,11
618,Port of Izmit,11
619,Port of Jubail (King Fahad Industrial Port),11
620,Port of Kakinada,11
621,Port of Kaohsiung,11
622,Port of Kavala,11
623,Port of Keelung,11
624,Port of Khor Fakkan,11
625,Port of KlaipÄ—da,11
626,Port of Kocaeli,11
627,Port of Kochi,11
628,Port of Kolkata (Syama Prasad Mookerjee Port),11
629,Port of Kollam,11
630,Port of Koper,11
631,Port of Krishnapatnam,11
632,Port of La Plata,11
633,Port of La Spezia,11
634,Port of LÃ¡zaro CÃ¡rdenas,11
635,Port of Laem Chabang,11
636,Port of Las Palmas,11
637,Port of Latakia,11
638,Port of Le Havre,11
639,"Port of LeixÃµes, Porto",11
640,Port of Lianyungang,11
641,Port of Limassol,11
642,Port of Lirquen,11
643,Port of Livorno/Leghorn,11
644,Port of Lobito,11
645,"Port of Long Beach, California",11
646,"Port of Los Angeles, California",11
647,Port of Luanda,11
648,"Port of Makassar, Makassar",11
649,Port of Manzanillo,11
650,Port of Maputo,11
651,Port of Marghera,11
652,Port of Matarani,11
653,Port of Mazatlan,11
654,Port of Mersin,11
655,Port of Mombasa,11
656,Port of Montevideo,11
657,Port of Montreal,11
658,Port of Mundra,11
659,Port of Muuga,11
660,Port of Nacala,11
661,Port of Nagoya,11
662,Port of Namibe,11
663,Port of Nanaimo,11
664,"Port of New Orleans, Louisiana",11
665,Port of Ngqura,11
666,Port of Nhava Sheva (Jawaharlal Nehru Port),11
667,Port of Ningbo,11
668,"Port of Oakland, California",11
669,Port of Odesa,11
670,Port of Osaka,11
671,Port of Oslo,11
672,Port of Palermo,11
673,Port of Pangaon,11
674,Port of Paramaribo,11
675,Port of ParanaguÃ¡,11
676,"Port of Piraeus, Athens",11
677,Port of PloÄ?e,11
678,Port of Pori,11
679,Port of Port Elizabeth,11
680,"Port of Port Lavaca, Texas",11
681,Port of Progreso,11
682,Port of Qingdao,11
683,Port of Quequen,11
684,Port of Rauma,11
685,Port of Richards Bay,11
686,Port of Rijeka,11
687,Port of Rio de Janeiro,11
688,Port of Rio Haina (Haina Occidental Port),11
689,Port of Rotterdam,11
690,Port of Saint John,11
691,Port of Saint Petersburg,11
692,Port of Salalah,11
693,Port of Salerno,11
694,Port of Samsun,11
695,Port of San Antonio,11
696,"Port of San Juan, Puerto Rico",11
697,Port of Santa Fe,11
698,Port of Santa Marta,11
699,Port of Santos,11
700,"Port of Savannah, Georgia",11
701,"Port of Seattle, Washington",11
702,Port of Sepetiba,11
703,"Port of SetÃºbal, Setubal",11
704,Port of Shanghai,11
705,Port of Sharjah,11
706,Port of Shenzhen,11
707,"Port of Sines, Sines",11
708,Port of Singapore,11
709,Port of Southampton,11
710,Port of Soyo,11
711,Port of Split - Adriatic Gate Container Terminal,11
712,Port of Split - Rijeka Gateway,11
713,Port of Sudan,11
714,Port of Suzhou,11
715,"Port of Tacoma, Washington",11
716,Port of Taichung,11
717,Port of Talcahuano,11
718,"Port of Tampa, Florida",11
719,"Port of Tanjung Mas, Semarang",11
720,Port of Tanjung Pelepas,11
721,"Port of Tanjung Perak, Surabaya",11
722,"Port of Tanjung Priok, Jakarta",11
723,Port of Taranto,11
724,Port of Tartus,11
725,Port of Thessaloniki,11
726,Port of Tianjin,11
727,"Port of Tincan, Lagos",11
728,Port of Tokyo,11
729,Port of Trieste,11
730,Port of Tripoli,11
731,"Port of Trisakti, Banjarmasin",11
732,Port of Tuticorin (V. O. Chidambaranar Port),11
733,Port of Valencia,11
734,Port of Valletta,11
735,Port of Valparaiso,11
736,Port of Veracruz,11
737,Port of Vigo,11
738,Port of Visakhapatnam,11
739,Port of Vitoria,11
740,Port of Vizhinjam (Vizhinjam International Seaport),11
741,Port of Volos,11
742,"Port of Wilmington, North Carolina",11
743,Port of Xiamen,11
744,Port of Yalova,11
745,Port of Yantai,11
746,Port of Yingkou,11
747,Port of Yokohama,11
748,Port of Zeebrugge,11
749,Port Qasim,11
750,Port Said - East Terminal,11
751,Port Said - West Port,11
752,"PortMiami, Miami, Florida",11
753,Ports of Auckland,11
754,Ports of Bahia Blanca,11
755,Ports of Stockholm,11
756,Portsmouth,11
757,Qasim Freight Station,11
758,Qasim International container terminal,11
759,"Red Hook Marine Terminal, Brooklyn, New York",11
760,Riyadh Dry Port,11
761,"Royal Portbury Dock, Bristol",11
762,Saigon Port,11
763,Sapangar Container Port,11
764,"Semayang Harbor, Balikpapan",11
765,Sokhna,11
766,South Asia Pakistan terminals,11
767,Tanger-Med,11
768,"Tenau Port, Kupang",11
769,Toamasina Autonomous Port,11
770,"Virginia Inland Port, Front Royal, Virginia",11
771,"Vostochny Port, Vrangel",11
772,"Wilmington Marine Terminal, Delaware",11
773,Aalborg,14
774,Aarhus,14
775,Abu Dhabi,14
776,Agadir Port,14
777,Alexandria Port,14
778,"APM Terminals, Portsmouth, Virginia",14
779,"Bayport Terminal, Houston, Texas",14
780,"CentrePort Wellington, Wellington Harbour",14
781,Copenhagen MalmÃ¶ Port,14
782,Da Nang,14
783,Damietta,14
784,DCT GdaÅ„sk,14
785,Dublin Port,14
786,"Dwikora Harbour, Pontianak",14
787,El-Dekhila,14
788,Fredericia,14
789,Grangemouth,14
790,Gwader Port,14
791,Hai Phong,14
792,Havana Harbor,14
793,"Helen Delich Bentley Port of Baltimore, Maryland",14
794,"Howland Hook Marine Terminal, Staten Island, New York",14
795,Jebel Ali,14
796,Jeddah Seaport,14
797,Kaliningrad Sea Commercial Port,14
798,Kalundborg,14
799,Karachi International container terminal,14
800,Karachi Port,14
801,LÃ¼beck Hafen-Gesellschaft,14
802,London Gateway,14
803,Louisiana International Gulf Transfer Terminal Regional Center,14
804,"Lyttleton Port, Lyttleton",14
805,"Malta Freeport, Birzebbuga",14
806,Manzanillo International Terminal,14
807,Marseille-Fos Port,14
808,Multimodal Caucedo Port,14
809,Muscat,14
810,Nantes â€“ Saint Nazaire Port,14
811,Napier Port,14
812,"Norfolk International Terminals, Norfolk, Virginia",14
813,PAKISTAN INTERNATIONAL BULK TERMINAL LIMITED,14
814,Pakistan International Container Terminal,14
815,PEARL TCDT,14
816,Penang Port,14
817,Port Botany,14
818,"Port Chalmers, Dunedin",14
819,"Port Everglades, Florida",14
820,Port Klang,14
821,Port Nelson,14
822,Port of Ä°skenderun,14
823,Port of Ä°zmir,14
824,Port of Adelaide,14
825,"Port of AlcÃ¢ntara, Lisbon",14
826,Port of Alexandroupoli,14
827,Port of Algiers,14
828,Port of Altamira,14
829,Port of AmbarlÄ±,14
830,Port of Amsterdam,14
831,"Port of Anchorage, Alaska",14
832,Port of Antalya,14
833,Port of Antofagasta,14
834,Port of Antwerp,14
835,"Port of Apapa, Lagos",14
836,"Port of Arica, Arica",14
837,Port of Ashdod,14
838,Port of Balboa,14
839,Port of Bandar-Abbas,14
840,Port of Bandar-kohemini,14
841,Port of Bangkok,14
842,Port of Bar,14
843,Port of Barcelona,14
844,"Port of Barranquilla, Cartagena",14
845,Port of Beira,14
846,"Port of Belawan, Medan",14
847,Port of Belfast,14
848,Port of Bergen,14
849,"Port of Boston, Massachusetts",14
850,Port of Bremen/Bremerhaven,14
851,Port of Brisbane,14
852,Port of Buenaventura,14
853,Port of Buenos Aires,14
854,Port of Cabinda,14
855,"Port of Callao, Lima",14
856,Port of Cape Town,14
857,Port of Centro,14
858,"Port of Charleston, South Carolina",14
859,Port of Chittagong,14
860,"Port of Cirebon, Cirebon",14
861,Port of Civitavecchia,14
862,Port of Colombo,14
863,Port of ConstanÅ£a,14
864,Port of Coronel,14
865,Port of Dakar,14
866,Port of Dalian,14
867,Port of Dar Es Salaam,14
868,Port of Djen Djen,14
869,Port of Djibouti,14
870,Port of Durban,14
871,Port of Eilat,14
872,Port of Ensenada,14
873,Port of Felixstowe,14
874,Port of Foshan,14
875,Port of Fremantle,14
876,Port of Fukuoka,14
877,Port of Fukuyama,14
878,"Port of Galveston, Texas",14
879,Port of Gdynia,14
880,Port of Gioia Tauro,14
881,Port of Gothenburg,14
882,Port of Haifa,14
883,Port of Halifax,14
884,Port of Hamad,14
885,Port of Hamina-Kotka,14
886,Port of Hazira,14
887,Port of Helsinki,14
888,Port of Heraklion,14
889,Port of Hiroshima,14
890,"Port of Honolulu, Hawaii",14
891,"Port of Hueneme, California",14
892,Port of Immingham,14
893,Port of Incheon,14
894,Port of Iquique,14
895,Port of Istanbul,14
896,Port of Izmit,14
897,Port of Jubail (King Fahad Industrial Port),14
898,Port of Kakinada,14
899,Port of Kaohsiung,14
900,Port of Kavala,14
901,Port of Keelung,14
902,Port of Khor Fakkan,14
903,Port of KlaipÄ—da,14
904,Port of Kobe,14
905,Port of Kocaeli,14
906,Port of Kochi,14
907,Port of Kolkata (Syama Prasad Mookerjee Port),14
908,Port of Koper,14
909,Port of Krishnapatnam,14
910,Port of La Spezia,14
911,Port of LÃ¡zaro CÃ¡rdenas,14
912,Port of Las Palmas,14
913,Port of Latakia,14
914,Port of Le Havre,14
915,"Port of LeixÃµes, Porto",14
916,Port of Lianyungang,14
917,Port of Limassol,14
918,Port of Lirquen,14
919,Port of Livorno/Leghorn,14
